ID,group,item.number,item,spelling.learned,reduction.type,pronunciation,button.pressedd,correct,RT,trial,spellingTest.answer,spelling.correct
CN01,Canonical_None,99,bliddus,none,flap,"New words, trained pronunciation",1,1,863,117,,
CN01,Canonical_None,124,bredenno,canonical,nasal,"New words, trained pronunciation",4,0,2333,74,,
CN01,Canonical_None,110,bunnow,none,nasal,"New words, trained pronunciation",1,1,1197,3,,
CN01,Canonical_None,96,byddo,canonical,flap,"New words, trained pronunciation",1,1,4614,103,,
CN01,Canonical_None,98,cluddee,none,flap,"New words, trained pronunciation",1,1,823,5,,
CN01,Canonical_None,125,credenner,none,nasal,"New words, trained pronunciation",1,1,1133,86,,
CN01,Canonical_None,121,cynnergus,none,nasal,"New words, trained pronunciation",1,1,897,71,,
CN01,Canonical_None,101,fluddow,none,flap,"New words, trained pronunciation",1,1,846,79,,
CN01,Canonical_None,111,gleanny,canonical,nasal,"New words, trained pronunciation",4,0,1937,41,,
CN01,Canonical_None,105,glunner,none,nasal,"New words, trained pronunciation",1,1,819,19,,
CN01,Canonical_None,127,lucrunny,none,nasal,"New words, trained pronunciation",1,1,1514,94,,
CN01,Canonical_None,113,piddery,canonical,flap,"New words, trained pronunciation",4,0,912,82,,
CN01,Canonical_None,116,pribeddy,none,flap,"New words, trained pronunciation",1,1,826,93,,
CN01,Canonical_None,107,prounner,none,nasal,"New words, trained pronunciation",1,1,989,24,,
CN01,Canonical_None,100,ruddow,canonical,flap,"New words, trained pronunciation",1,1,1136,115,,
CN01,Canonical_None,119,sceaneddy,canonical,flap,"New words, trained pronunciation",4,0,1407,21,,
CN01,Canonical_None,106,senno,canonical,nasal,"New words, trained pronunciation",4,0,3760,120,,
CN01,Canonical_None,103,sleddow,canonical,flap,"New words, trained pronunciation",4,0,2707,26,,
CN01,Canonical_None,112,slyddenee,none,flap,"New words, trained pronunciation",1,1,942,97,,
CN01,Canonical_None,108,smounnus,canonical,nasal,"New words, trained pronunciation",1,1,3070,17,,
CN01,Canonical_None,120,sounnerby,canonical,nasal,"New words, trained pronunciation",1,1,3141,42,,
CN01,Canonical_None,118,spearoddus,none,flap,"New words, trained pronunciation",1,1,1146,77,,
CN01,Canonical_None,123,spennogy,none,nasal,"New words, trained pronunciation",1,1,1010,78,,
